title,rank
Day & Night,
Paint The World,1
Dreamlands,
PPT VR,7
MeditateVr,
CityViewR,3
Boiling Frog Story,
Budget Your Future,
Prototool,
html2three,
Maze War VR Multi-Player,
Dashboard VR,
vrify - Firefox Nightly WebExtension to add VR interface to your local filesystem,
Avenue: Immersive Destination Booking,
File Manager VR,8
Illy: A Primitive Intelligence,
Explore 360™ Immersive Navigation,6
"Hello, worlds!",
"Control your ""Earth Rover"" in WebVR",
WebVR Mixed Reality Video Capture for HTC Vive,
"Posture Recognition using Kinect, Azure IoT, ML and WebVR",
Let it Snow - IoT Snow Globe with Virtual Reality Web,
A-Frame Arcade,
Overunder Panorama Viewer,9
Sphere Blast,
WebVR Worlds,
MathworldVR,10
A-Frame Video Viewer,4
Adit: Enter the Data Mine,2
vrBIM - Infrastructure Models in WebVR,
gravr - A Globally Recognized Avatar for VR on the web,5
Voice Command Component for A-Frame,
Virtual Art Gallery,
Presentation Rehearsals,
